data_da_transacao,hora_da_transacao,localizacao_da_loja,quantidade_vendida,valor_unitario,valor_total,categoria_do_produto,nome_do_produto,tamanho,nome_do_mes,nome_do_dia,hora,mes,dia_da_semana
19-06-2023,15:00:09,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Segunda-feira,15,6,0
19-06-2023,15:54:25,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Segunda-feira,15,6,0
19-06-2023,16:24:10,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Segunda-feira,16,6,0
20-06-2023,08:34:24,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,8,6,1
20-06-2023,08:56:02,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,8,6,1
20-06-2023,09:20:53,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,9,6,1
20-06-2023,10:16:11,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,10,6,1
20-06-2023,10:25:13,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,10,6,1
20-06-2023,10:53:45,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,10,6,1
20-06-2023,11:25:36,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,11,6,1
20-06-2023,14:18:59,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,14,6,1
20-06-2023,14:54:24,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,14,6,1
20-06-2023,17:06:53,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,17,6,1
20-06-2023,19:10:06,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,19,6,1
20-06-2023,19:13:31,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,19,6,1
21-06-2023,08:30:02,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quarta-feira,8,6,2
21-06-2023,10:20:10,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quarta-feira,10,6,2
22-06-2023,08:19:40,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quinta-feira,8,6,3
22-06-2023,11:01:47,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quinta-feira,11,6,3
22-06-2023,11:11:44,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quinta-feira,11,6,3
22-06-2023,14:11:19,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quinta-feira,14,6,3
23-06-2023,07:49:50,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,7,6,4
23-06-2023,09:43:22,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,9,6,4
23-06-2023,11:48:23,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,11,6,4
23-06-2023,11:53:23,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,11,6,4
23-06-2023,12:33:47,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,12,6,4
23-06-2023,12:35:32,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,12,6,4
23-06-2023,15:09:25,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,15,6,4
23-06-2023,16:40:06,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,16,6,4
23-06-2023,16:45:46,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,16,6,4
23-06-2023,16:57:42,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,16,6,4
23-06-2023,17:11:50,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,17,6,4
24-06-2023,09:42:37,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sábado,9,6,5
24-06-2023,12:39:12,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sábado,12,6,5
24-06-2023,16:04:51,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sábado,16,6,5
24-06-2023,16:47:14,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sábado,16,6,5
24-06-2023,19:53:00,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sábado,19,6,5
25-06-2023,08:05:31,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Domingo,8,6,6
25-06-2023,09:47:54,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Domingo,9,6,6
25-06-2023,17:06:33,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Domingo,17,6,6
26-06-2023,07:00:31,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Segunda-feira,7,6,0
26-06-2023,10:52:25,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Segunda-feira,10,6,0
26-06-2023,11:26:52,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Segunda-feira,11,6,0
26-06-2023,15:09:55,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Segunda-feira,15,6,0
26-06-2023,15:35:11,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Segunda-feira,15,6,0
26-06-2023,16:00:05,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Segunda-feira,16,6,0
26-06-2023,18:18:17,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Segunda-feira,18,6,0
27-06-2023,08:20:25,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,8,6,1
27-06-2023,09:52:13,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,9,6,1
27-06-2023,19:14:03,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Terça-feira,19,6,1
28-06-2023,07:58:34,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quarta-feira,7,6,2
28-06-2023,13:56:44,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quarta-feira,13,6,2
28-06-2023,14:08:22,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quarta-feira,14,6,2
28-06-2023,14:18:25,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quarta-feira,14,6,2
28-06-2023,14:46:23,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quarta-feira,14,6,2
28-06-2023,16:23:47,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quarta-feira,16,6,2
28-06-2023,17:48:47,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quarta-feira,17,6,2
29-06-2023,09:03:37,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quinta-feira,9,6,3
29-06-2023,09:31:21,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quinta-feira,9,6,3
29-06-2023,12:58:51,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quinta-feira,12,6,3
29-06-2023,16:05:03,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Quinta-feira,16,6,3
30-06-2023,19:17:53,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Junho,Sexta-feira,19,6,4
01-05-2023,11:33:29,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,11,5,0
02-05-2023,11:18:24,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Terça-feira,11,5,1
02-05-2023,19:39:47,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Terça-feira,19,5,1
03-05-2023,12:24:57,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quarta-feira,12,5,2
03-05-2023,12:42:55,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quarta-feira,12,5,2
03-05-2023,12:44:17,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quarta-feira,12,5,2
03-05-2023,18:57:29,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quarta-feira,18,5,2
04-05-2023,11:59:23,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quinta-feira,11,5,3
04-05-2023,13:57:40,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quinta-feira,13,5,3
04-05-2023,14:31:43,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quinta-feira,14,5,3
04-05-2023,17:53:30,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quinta-feira,17,5,3
04-05-2023,18:05:27,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quinta-feira,18,5,3
05-05-2023,11:24:27,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sexta-feira,11,5,4
05-05-2023,12:01:03,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sexta-feira,12,5,4
05-05-2023,14:19:59,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sexta-feira,14,5,4
05-05-2023,14:42:16,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sexta-feira,14,5,4
05-05-2023,16:52:40,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sexta-feira,16,5,4
05-05-2023,19:51:09,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sexta-feira,19,5,4
06-05-2023,13:32:35,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sábado,13,5,5
07-05-2023,12:01:18,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Domingo,12,5,6
07-05-2023,16:17:25,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Domingo,16,5,6
07-05-2023,18:07:09,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Domingo,18,5,6
08-05-2023,10:42:48,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,10,5,0
08-05-2023,11:09:47,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,11,5,0
08-05-2023,12:09:57,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,12,5,0
08-05-2023,13:13:25,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,13,5,0
08-05-2023,15:00:40,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,15,5,0
08-05-2023,16:58:47,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,16,5,0
08-05-2023,19:54:56,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,19,5,0
09-05-2023,08:39:35,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Terça-feira,8,5,1
09-05-2023,08:55:36,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Terça-feira,8,5,1
09-05-2023,09:32:40,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Terça-feira,9,5,1
09-05-2023,12:04:39,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Terça-feira,12,5,1
10-05-2023,07:24:26,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quarta-feira,7,5,2
10-05-2023,09:37:38,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quarta-feira,9,5,2
10-05-2023,14:03:46,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quarta-feira,14,5,2
11-05-2023,09:10:48,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quinta-feira,9,5,3
11-05-2023,09:32:07,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quinta-feira,9,5,3
11-05-2023,17:34:29,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quinta-feira,17,5,3
11-05-2023,19:17:53,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quinta-feira,19,5,3
13-05-2023,10:56:47,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sábado,10,5,5
13-05-2023,16:14:54,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sábado,16,5,5
13-05-2023,17:45:45,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sábado,17,5,5
14-05-2023,08:30:02,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Domingo,8,5,6
14-05-2023,14:16:04,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Domingo,14,5,6
15-05-2023,07:39:31,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,7,5,0
15-05-2023,09:32:07,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,9,5,0
15-05-2023,10:45:52,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,10,5,0
15-05-2023,15:00:09,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,15,5,0
15-05-2023,15:54:25,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,15,5,0
16-05-2023,13:33:56,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Terça-feira,13,5,1
16-05-2023,17:39:04,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Terça-feira,17,5,1
17-05-2023,09:26:25,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quarta-feira,9,5,2
17-05-2023,09:47:36,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quarta-feira,9,5,2
17-05-2023,09:49:01,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quarta-feira,9,5,2
18-05-2023,09:54:47,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quinta-feira,9,5,3
18-05-2023,11:39:57,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quinta-feira,11,5,3
18-05-2023,14:08:07,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quinta-feira,14,5,3
18-05-2023,18:10:19,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quinta-feira,18,5,3
19-05-2023,07:39:31,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sexta-feira,7,5,4
19-05-2023,09:32:07,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sexta-feira,9,5,4
19-05-2023,09:44:36,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sexta-feira,9,5,4
19-05-2023,10:45:52,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sexta-feira,10,5,4
19-05-2023,15:54:25,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sexta-feira,15,5,4
20-05-2023,08:21:01,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sábado,8,5,5
20-05-2023,08:34:24,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sábado,8,5,5
20-05-2023,09:20:53,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sábado,9,5,5
20-05-2023,09:29:37,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sábado,9,5,5
20-05-2023,10:25:13,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sábado,10,5,5
20-05-2023,10:36:00,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sábado,10,5,5
20-05-2023,10:53:45,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sábado,10,5,5
20-05-2023,11:25:36,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sábado,11,5,5
20-05-2023,14:54:24,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sábado,14,5,5
20-05-2023,19:13:31,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sábado,19,5,5
21-05-2023,08:17:01,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Domingo,8,5,6
21-05-2023,10:20:10,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Domingo,10,5,6
22-05-2023,08:19:40,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,8,5,0
22-05-2023,10:37:26,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,10,5,0
22-05-2023,11:01:47,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,11,5,0
22-05-2023,11:11:44,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,11,5,0
23-05-2023,12:33:47,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Terça-feira,12,5,1
23-05-2023,12:35:32,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Terça-feira,12,5,1
23-05-2023,14:04:24,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Terça-feira,14,5,1
23-05-2023,15:09:25,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Terça-feira,15,5,1
23-05-2023,16:40:06,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Terça-feira,16,5,1
23-05-2023,16:45:46,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Terça-feira,16,5,1
23-05-2023,16:57:42,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Terça-feira,16,5,1
24-05-2023,16:04:51,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quarta-feira,16,5,2
24-05-2023,16:47:14,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quarta-feira,16,5,2
25-05-2023,08:40:35,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quinta-feira,8,5,3
25-05-2023,08:42:40,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quinta-feira,8,5,3
25-05-2023,11:54:23,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Quinta-feira,11,5,3
26-05-2023,07:00:31,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sexta-feira,7,5,4
26-05-2023,10:52:25,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sexta-feira,10,5,4
26-05-2023,15:09:55,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sexta-feira,15,5,4
26-05-2023,15:35:11,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sexta-feira,15,5,4
26-05-2023,18:18:17,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sexta-feira,18,5,4
27-05-2023,11:29:45,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sábado,11,5,5
27-05-2023,16:32:03,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sábado,16,5,5
27-05-2023,19:05:01,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Sábado,19,5,5
28-05-2023,13:56:44,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Domingo,13,5,6
28-05-2023,14:08:22,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Domingo,14,5,6
28-05-2023,14:18:25,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Domingo,14,5,6
28-05-2023,14:46:23,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Domingo,14,5,6
28-05-2023,16:23:47,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Domingo,16,5,6
28-05-2023,17:48:47,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Domingo,17,5,6
29-05-2023,09:03:37,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,9,5,0
29-05-2023,09:31:21,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,9,5,0
29-05-2023,12:58:51,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,12,5,0
29-05-2023,13:08:30,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,13,5,0
29-05-2023,14:20:16,Astoria,1,3.0,3.0,Chá,Peppermint,Grande,Maio,Segunda-feira,14,5,0
